Year;Week Number;benison;anchovy;neuston;allover;angrier;philtre;scalpel;murther;scauper;cadorna;agulhas;etching;flunkey;tripoli;taboret;ferrari;quamash;daro;mitford;amenity;trismus;flunkou;mizoram;stertor;oceanog;starver;manning;eyespot;ebonise;heavier;recarve;saurian;airline;cawdrey;microhm;candler;citizen;fordone;lighter;birling;capelin;mabelle;mortise;fergana;arecibo;kinesic;gossipy;nonplus;maginus;fleecer;grafton;engager;woodser;supreme;maestro;enskyed;nonsane;luganda;kowloon;twinned;solubly;fumette;cynurus;coaxial;ivylike;precast;aplitic;parquet;regosol;iodizer;service;sophist;subhead;eroding;triduum;hydroid;vistula;gingham;contemn;natalia;golding;byronic;mitzvah;bambino;britska;puccoon;berwick;arrived;shipman;doubter;shaptin;chunder;dacryon;gonadal;rending;toadied;seattle;protege;drawbar;swaddle;overlay;sullage
2018;1;26624;67;161077;389;37;295;2642;58;23;15145;87;762;881943;24;593;278;101;0;27;8;9;1555;0;258;39;237;42;0;1024;0;14295;835;41;6228;12105;34;71;19090;49615;177;191;3;12695;9169;15;215;15;84516;87;75;3853;61;2876;102;3201;522;0;114;77;149;867;120;196;0;13;11443;140;317;1116;73;135;5;350;143;94922;27996;3;0;7284;74;35350;0;18649;14;0;17;702;265;308;65;13097;69;7175;22;14;5297;10365;36;14358;0;100814;0
2018;2;22098;215;92202;304;370;183;2210;53;59;18266;151;774;730098;23;216;304;69;0;49;20;16;2635;19;218;22;76;291;0;1818;62;16359;1134;0;9462;16577;33;12;19422;33676;331;293;53;12982;12958;30;258;34;116195;91;34;4595;98;3300;0;2068;547;111;157;0;47;338;144;117;0;58;10436;101;434;794;133;264;83;510;281;71573;28219;148;13;10647;23;20558;41;35721;60;48;0;745;558;264;137;22429;240;14174;24;0;8576;8229;0;10685;0;50632;152
2018;3;19950;212;73383;561;150;149;2721;88;82;16404;128;557;592847;24;305;265;77;260;15;25;10;2529;8;241;22;151;374;1;1417;98;19905;681;51;9158;16804;42;30;15554;33998;150;330;104;12604;12078;39;179;17;182068;115;91;4044;96;3251;55;2242;441;10;161;12;94;321;207;98;0;43;16221;38;338;1150;193;231;10;358;338;68613;42028;288;178;9700;0;17867;64;37670;32;24;35;677;92;323;52;20286;276;12947;38;48;8332;12563;61;11405;0;50388;659
2018;4;19806;138;70523;491;158;117;2154;35;88;17596;122;504;540523;0;236;179;154;232;0;29;49;2954;0;221;32;129;289;0;1297;45;11434;650;17;4277;17986;45;25;13561;32695;205;326;60;10824;11849;0;227;43;97771;50;89;4537;21;2690;0;2079;425;17;123;0;85;289;195;111;0;55;13297;84;458;1191;169;148;0;390;241;74262;31917;287;18;9724;0;14436;37;38372;26;36;31;773;70;265;138;21619;231;8460;11;43;3728;10128;95;12015;0;48075;487
2018;5;19393;161;73029;479;104;154;2592;43;60;17115;107;447;519483;0;228;228;84;266;0;14;0;3532;0;269;9;195;250;199;1078;95;14522;772;29;7035;15802;21;27;16194;30596;837;356;5;10527;12151;49;157;52;89027;73;104;4496;25;2474;0;2331;449;30;168;51;107;452;179;149;0;13;18192;141;412;835;193;96;4;405;114;58612;31699;107;0;10771;33;18332;0;30135;53;1;5;757;59;307;4;19792;137;14649;18;80;4748;9669;63;7693;0;45564;368
2018;6;19703;86;73950;416;166;157;2045;57;21;16314;145;393;586287;14;223;205;92;173;5;8;0;2458;45;253;32;153;193;291;1472;25;16384;769;1;7459;14591;42;37;10578;27339;139;351;16;11518;12225;0;146;15;124019;123;4;3726;60;2595;30;2820;593;0;93;94;71;396;119;177;0;27;7919;119;423;679;167;98;64;361;239;64999;33064;127;0;11117;70;14171;29;23950;59;43;22;943;64;223;103;19130;193;7832;30;67;8404;6536;23;8323;0;32395;190
2018;7;19098;95;62696;475;155;123;2175;64;35;15809;121;389;533467;23;234;169;131;232;0;117;32;1939;1;221;0;224;200;110;1341;21;21482;772;9;6001;14520;64;183;5080;23676;97;326;64;10521;12730;16;147;0;131021;121;47;3261;23;2034;0;2579;461;157;106;36;100;193;185;193;0;44;10568;107;340;568;177;120;27;322;144;61179;35517;183;19;8850;19;10739;18;32975;48;16;24;910;101;199;145;18353;304;12365;19;69;4613;8565;13;5991;0;37587;180
2018;8;19973;27;66687;494;150;149;1988;24;54;14312;102;311;530522;14;207;162;76;192;29;31;2;3065;23;200;0;92;257;241;956;9;24039;999;0;7254;14152;33;0;12397;27729;344;353;36;8083;12567;28;146;0;85821;78;83;3850;0;1858;63;1987;486;38;140;0;100;216;177;53;0;39;14550;123;533;452;152;109;50;425;215;63994;22192;169;0;9626;10;10425;0;21607;58;4;60;927;226;213;0;14393;200;11269;23;57;5082;12215;49;15704;0;38979;84
2018;9;20241;140;75054;506;130;147;2429;77;29;18904;171;355;489973;0;324;264;98;210;0;36;0;3091;62;206;0;136;155;78;1329;31;50322;805;5;10321;15294;35;0;7666;26628;1067;361;66;20998;13385;48;120;39;92186;119;86;6240;26;1949;72;1872;494;46;164;11;116;115;131;49;0;18;9170;129;547;542;225;154;25;434;221;54858;27898;5;0;10960;38;12446;27;24152;50;47;59;813;242;236;103;21610;304;15696;23;13;5053;7565;85;7329;0;37041;269
2018;10;19759;84;65676;486;217;142;2091;0;61;17430;106;359;502179;49;332;156;53;189;4;61;81;2169;0;191;0;46;136;42;936;48;21504;600;2;13423;16062;90;4;10715;26145;365;361;9;64827;12763;61;172;14;83026;113;46;7560;19;1550;0;2648;466;102;190;21;69;437;191;260;0;22;12926;88;613;475;149;133;72;359;260;60240;26939;0;0;11094;60;11924;0;23242;35;18;3;878;189;231;0;19524;231;9568;5;103;9485;8637;100;6569;0;40640;54
2018;11;21402;139;74437;571;75;177;2409;42;33;16007;92;326;519706;0;375;185;103;171;0;33;14;3053;83;264;0;122;126;78;1237;0;23126;631;43;13850;15738;33;6;12172;25994;283;412;61;21953;12962;84;123;39;177720;99;98;8558;26;1490;54;2420;708;80;134;39;80;410;118;270;0;16;9880;35;509;422;166;104;0;394;242;54493;27859;5;125;10998;0;12086;25;25082;0;13;59;906;181;259;70;16147;279;15378;51;0;5023;10346;7;9799;0;37220;22
2018;12;21696;150;110544;507;100;173;3009;27;68;18773;123;394;533905;0;429;162;80;254;0;67;0;3387;0;242;0;88;100;79;1321;69;17446;771;24;14800;15832;18;26;13129;33662;343;432;9;12441;12981;63;192;0;104515;108;82;7290;31;1388;191;3452;715;82;162;0;90;442;152;243;0;25;11650;105;599;477;117;133;38;423;364;64581;24586;271;0;10244;3;13423;48;25851;15;56;0;920;198;213;131;20587;201;12530;5;15;4562;11215;58;10399;0;34755;311
2018;13;19631;104;82787;386;52;101;1935;48;1;16296;119;353;521768;0;345;193;25;138;38;16;23;2750;0;219;41;109;141;0;1328;0;18952;554;21;11579;13266;30;0;10170;38008;148;302;63;11252;10681;15;110;1;85921;114;66;11599;11;1602;0;1865;790;23;122;23;107;337;150;45;0;61;9381;72;524;567;138;105;39;346;287;50371;24085;247;0;8509;22;10371;63;19212;27;17;45;709;151;219;164;15373;205;10499;21;14;4211;7542;54;10537;0;37225;360
2018;14;24172;131;69174;638;277;213;3163;67;67;16514;131;414;627173;387;588;236;83;196;19;30;13;3337;0;299;14;127;30;101;1868;79;15529;897;0;15261;16646;22;16;20497;35892;209;389;73;22435;11841;0;162;8;118586;148;109;4749;0;2349;91;2151;590;11;128;23;112;646;133;130;0;26;15457;60;766;557;196;193;29;440;301;52276;28072;324;0;11502;0;17449;0;27660;54;4;19;1021;269;348;44;16872;299;11879;34;80;7755;16451;42;9982;0;44366;226
