Year;Week Number;cawdrey;microhm;candler;citizen;fordone;lighter;birling;capelin;mabelle;mortise;fergana;arecibo;kinesic;gossipy;nonplus;maginus;fleecer;grafton;engager;benison;anchovy;neuston;allover;angrier;philtre;scalpel;murther;scauper;cadorna;agulhas;etching;flunkey;tripoli;taboret;ferrari;quamash;daro;mitford;amenity;trismus;flunkou;mizoram;stertor;oceanog;starver;manning;eyespot;ebonise;heavier;recarve;saurian;airline;woodser;supreme;maestro;enskyed;nonsane;luganda;kowloon;twinned;solubly;fumette;cynurus;coaxial;ivylike;precast;aplitic;parquet;regosol;iodizer;service;sophist;subhead;eroding;triduum;hydroid;vistula;gingham;contemn;natalia;golding;byronic;mitzvah;bambino;britska;puccoon;berwick;arrived;shipman;doubter;shaptin;chunder;dacryon;gonadal;rending;toadied;seattle;protege;drawbar;swaddle;overlay;sullage
2017;1;1067;10695;0;28;15474;10735;84;107;29;6185;9704;18;252;12;72063;231;60;54671;3;18478;74;125750;365;163;204;679;25;90;17638;83;744;617215;0;526;312;101;198;87;21;10;0;14;138;35;143;66;0;1246;18;2017;1327;11;2910;0;3168;881;0;113;27;185;0;104;140;320;0;13660;38;390;1212;86;196;25;228;130;72201;27659;155;0;5671;76;19182;18;20957;34;78;17;303;77;293;45;12655;67;6082;10;17;7426;8494;23;13655;17;97817;41
2017;2;2090;14565;43;32;14150;8188;62;102;61;8722;13009;33;310;40;156112;241;76;54499;0;16043;105;120928;246;210;240;780;50;13;15066;98;505;516319;0;348;282;73;275;18;16;27;0;39;128;81;226;308;0;1208;66;1689;995;13;2364;50;2595;918;148;125;85;69;0;89;209;599;10;5265;126;266;1341;127;192;77;451;221;60960;26666;75;2;9071;191;17242;14;46999;88;51;33;401;254;254;42;19762;179;14027;15;24;14605;7813;42;8130;31;49723;175
2017;3;965;14913;20;25;11684;9862;88;103;39;4365;11213;48;201;46;95800;462;83;55090;13;14822;44;98392;374;163;139;557;76;47;16744;57;526;477298;0;235;205;44;304;73;18;53;0;52;147;209;177;352;0;1199;63;2429;641;35;2346;1;2338;858;8;175;86;94;0;118;222;875;31;5529;149;395;1203;149;140;46;259;291;62057;25048;205;99;8663;68;14473;23;45238;139;48;49;558;254;255;86;19319;184;9392;28;75;8635;11536;79;6779;12;44595;348
2017;4;1299;13806;18;10;10954;5834;131;87;39;5368;11312;31;247;55;80400;271;132;56607;25;14090;30;89398;367;208;129;435;21;1;14897;127;485;459019;16;249;182;53;336;0;0;50;0;0;131;15;238;268;0;1127;0;1905;660;30;1795;63;2137;928;17;154;1;83;0;106;200;342;19;8073;76;333;1163;172;238;27;396;31;57184;24049;274;64;9007;34;12081;16;41879;28;22;4;449;193;269;62;17931;178;13031;31;15;5849;7357;57;7115;57;39312;290
2017;5;1508;14040;39;21;10295;5387;338;62;65;3367;12294;5;233;0;69906;275;58;51619;11;16353;26;84362;424;146;121;624;45;14;11959;121;386;476054;8;308;211;69;367;0;24;0;0;9;144;177;256;404;0;938;53;1731;718;32;1987;57;2247;925;67;78;0;107;0;87;109;178;0;7122;132;410;1087;153;174;19;421;187;46156;25967;285;0;9110;20;14152;18;27208;33;5;22;476;82;302;36;18547;132;11934;17;23;8456;7276;52;4806;0;36645;359
2017;6;1518;13454;51;56;7196;5645;197;79;66;5685;11893;59;219;29;146958;438;63;63504;16;16090;47;91382;401;174;100;1077;31;102;14183;113;336;468718;0;335;257;76;334;23;0;0;0;16;186;164;300;305;264;1090;12;2327;857;6;1617;0;2570;854;126;106;0;82;0;78;186;352;44;5311;92;365;1240;115;101;27;422;296;48261;24371;197;4;9308;139;11347;22;30862;55;50;4;555;152;240;7;18080;240;8383;0;72;12020;7883;91;6657;30;36154;291
2017;7;3833;13379;22;40;5049;5331;434;44;23;2883;11159;57;165;52;81014;365;60;63597;0;14271;69;75139;324;75;144;796;0;61;14002;93;379;421901;83;355;251;115;325;67;38;0;0;31;146;95;211;232;53;1045;48;1814;908;8;1373;49;2273;826;41;129;0;72;0;125;366;486;45;5289;47;401;1548;177;156;80;296;250;58865;23284;175;13;8084;73;9679;21;29897;55;0;7;576;86;243;177;16303;154;10674;6;101;12156;8253;93;7433;9;31763;267
2017;8;11103;11449;0;58;5766;8135;422;126;17;4135;13122;22;183;52;78144;1246;48;65064;25;15301;66;93166;360;129;93;973;34;54;15343;116;312;419770;46;460;242;104;299;79;6;58;0;23;192;115;82;206;123;995;33;1909;1030;7;1180;36;1518;730;13;101;54;147;0;129;278;219;16;9849;34;438;1641;65;118;72;366;290;47741;26134;137;0;8482;86;8353;53;22947;80;43;48;376;130;295;63;13818;234;10861;0;64;8122;9856;111;10542;9;40323;150
2017;9;10974;14354;0;16;9538;4662;183;66;73;3333;13282;0;179;14;74376;511;78;69385;0;14728;99;78365;312;221;57;1232;44;4;15503;125;233;430595;0;456;326;42;347;55;48;14;0;0;200;40;109;123;440;1046;37;2405;807;3;1411;56;2483;899;92;154;58;152;0;157;256;55;12;5543;174;556;1423;149;143;38;373;403;47994;20261;324;23;10149;30;8967;13;29731;75;68;42;473;137;232;242;18823;336;10740;27;44;11797;17956;77;6383;26;60487;86
2017;10;8820;13179;38;29;7197;6360;311;80;6;2635;12309;32;180;23;143271;338;121;66612;70;15239;84;85837;324;234;153;602;30;44;14492;106;356;464969;35;447;284;120;344;0;62;25;0;56;195;203;130;82;70;1109;0;2315;707;28;1154;0;2601;862;35;177;0;169;0;129;185;78;46;7528;144;479;1218;120;119;30;412;487;51124;25606;357;37;12016;139;8792;12;27802;62;18;13;527;346;218;49;17015;240;12985;50;30;18042;8715;29;6314;33;37545;2210
